,machine_cpu_uti,machine_memory_uti,cluster_cpu,cluster_memory,machine,time(s)
0,0.321388889,0.097206062,0.249695571,0.073924056,k8s-worker0,559929
1,0.243833333,0.041280192,0.258630054,0.057857521,k8s-master,559929
2,0.333172917,0.103765999,0.373221416,0.093782392,k8s-worker0,560317
3,0.509885938,0.075133256,0.361663788,0.098259452,k8s-master,560317
4,0.323276709,0.107584902,0.400364717,0.086097514,k8s-worker0,560721
5,0.609540064,0.088853919,0.388797168,0.099446982,k8s-master,560721
6,0.334305871,0.109759628,0.412384099,0.099539675,k8s-worker0,561129
7,0.606953835,0.08838598,0.398502368,0.0952473,k8s-master,561129
8,0.331521341,0.114784609,0.393830437,0.102477576,k8s-worker0,561536
9,0.598915396,0.091880382,0.403830342,0.099049924,k8s-master,561536
10,0.333088675,0.112941344,0.386630807,0.102938552,k8s-worker0,561942
11,0.607989583,0.091349645,0.401574626,0.087805632,k8s-master,561942
12,0.331625,0.10811352,0.390605133,0.099520978,k8s-worker0,562349
13,0.607191406,0.092372891,0.382171648,0.09544596,k8s-master,562349
14,0.493420455,0.132358219,0.500023009,0.100287636,k8s-worker0,562753
15,0.602363636,0.093149243,0.490952173,0.108077948,k8s-master,562753
16,0.679696429,0.173184504,0.587703351,0.10493909,k8s-worker0,563165
17,0.591688244,0.090464963,0.591998559,0.132137571,k8s-master,563165
18,0.686370935,0.175326163,0.575332099,0.129249185,k8s-worker0,563587
19,0.596948171,0.092173702,0.591479747,0.118159284,k8s-master,563587
20,0.686174145,0.173637661,0.582679602,0.114543003,k8s-worker0,564007
21,0.592696314,0.090390042,0.577777262,0.131195566,k8s-master,564007
22,0.687667593,0.178411735,0.501065784,0.094830015,k8s-worker0,564423
23,0.350211111,0.069415221,0.483268044,0.104603455,k8s-master,564423
24,0.349550595,0.120003156,0.396698452,0.11420594,k8s-worker0,564841
25,0.320161458,0.070177808,0.389933396,0.095373025,k8s-master,564841
26,0.33219765,0.11344774,0.448190568,0.099801963,k8s-worker0,565248
27,0.473483974,0.081698147,0.44524651,0.117497444,k8s-master,565248
28,0.568458333,0.085020595,0.411915695,0.083908733,k8s-master,560081
29,0.466402778,0.05405031,0.406799143,0.105957024,k8s-worker2,560081
30,0.604426786,0.086529774,0.402788575,0.088482164,k8s-master,560393
31,0.41157381,0.086193365,0.415095889,0.087279359,k8s-worker2,560393
32,0.604709821,0.087490996,0.410235897,0.095565435,k8s-master,560682
33,0.366558036,0.083576608,0.392517804,0.098013578,k8s-worker2,560682
34,0.604079545,0.088653318,0.385075386,0.094689328,k8s-master,560979
35,0.376873737,0.089733249,0.409877232,0.092309919,k8s-worker2,560979
36,0.599827621,0.090759568,0.406952914,0.090989378,k8s-master,561280
37,0.376159946,0.092647094,0.408812579,0.095729512,k8s-worker2,561280
38,0.59506681,0.092392687,0.384331368,0.109122829,k8s-master,561582
39,0.37024569,0.089226861,0.405101903,0.102170337,k8s-worker2,561582
40,0.601873106,0.090470269,0.408486454,0.101837355,k8s-master,561886
41,0.376669192,0.089978177,0.40927414,0.102312413,k8s-worker2,561886
42,0.607384698,0.091799558,0.394810206,0.090531969,k8s-master,562191
43,0.359153736,0.088554444,0.387075918,0.11193021,k8s-worker2,562191
44,0.598023185,0.093705069,0.407397521,0.104032324,k8s-master,562496
45,0.366010753,0.093536524,0.397507936,0.096503031,k8s-worker2,562496
46,0.604175781,0.088842141,0.54608499,0.101979666,k8s-master,562798
47,0.390846354,0.092824408,0.540666709,0.119789906,k8s-worker2,562798
48,0.59047168,0.089486536,0.57128505,0.121691656,k8s-master,563098
49,0.387583333,0.096838768,0.57764304,0.121940014,k8s-worker2,563098
50,0.598412716,0.091931171,0.587817208,0.118968344,k8s-master,563397
51,0.371527299,0.091181777,0.573544487,0.117382703,k8s-worker2,563397
52,0.591030273,0.092001866,0.587181358,0.110189215,k8s-master,563698
53,0.360665365,0.092399435,0.569620398,0.109919818,k8s-worker2,563698
54,0.5866625,0.092178811,0.572190666,0.111665229,k8s-master,564000
55,0.353738889,0.09323263,0.584714891,0.110095341,k8s-worker2,564000
56,0.514833333,0.097173163,0.507972216,0.096629672,k8s-worker3,562388
57,0.421020833,0.035904255,0.500958701,0.111739269,k8s-worker5,562388
58,0.50005506,0.081797127,0.512598459,0.094716685,k8s-worker3,562658
59,0.405377976,0.078667452,0.490692022,0.105882236,k8s-worker5,562658
60,0.494928161,0.089770311,0.589385571,0.117168809,k8s-worker3,562936
61,0.412248563,0.090773025,0.588514364,0.101841799,k8s-worker5,562936
62,0.506275862,0.085681717,0.577896741,0.121225015,k8s-worker3,563205
63,0.41741954,0.094166991,0.584329467,0.121512545,k8s-worker5,563205
64,0.494256667,0.087950881,0.569959131,0.117103038,k8s-worker3,563476
65,0.398263333,0.0981811,0.576032745,0.108197096,k8s-worker5,563476
66,0.501659483,0.086965291,0.580342807,0.122025662,k8s-worker3,563748
67,0.40837069,0.096634191,0.589959315,0.110642004,k8s-worker5,563748
68,0.500814655,0.086197582,0.577645631,0.116196964,k8s-worker3,564018
69,0.40749569,0.095875438,0.568858084,0.110426499,k8s-worker5,564018
70,0.500022436,0.087331619,0.475085114,0.11694096,k8s-worker3,564290
71,0.407814103,0.097694609,0.48669547,0.099483647,k8s-worker5,564290
72,0.491645833,0.090176197,0.397177191,0.104863865,k8s-worker3,564561
73,0.390447917,0.093157458,0.405951765,0.095620963,k8s-worker5,564561
74,0.500988889,0.087994515,0.406724591,0.106230118,k8s-worker3,564831
75,0.402727778,0.081188705,0.418242278,0.093105245,k8s-worker5,564831
76,0.49687963,0.089983039,0.447062491,0.120235383,k8s-worker3,565106
77,0.394316358,0.081088548,0.448807189,0.116664809,k8s-worker5,565106
78,0.504381944,0.092194772,0.421035386,0.109109655,k8s-worker3,565379
79,0.4106,0.084206353,0.441189583,0.092943111,k8s-worker5,565379
80,0.495718333,0.094893201,0.479237225,0.092856521,k8s-worker3,565649
81,0.395383333,0.084485954,0.486829103,0.098422581,k8s-worker5,565649
82,0.494170833,0.090022094,0.473603914,0.108402088,k8s-worker3,565920
83,0.399984722,0.082770252,0.471134019,0.091200784,k8s-worker5,565920
84,0.430583333,0.107084234,0.559445671,0.122025788,k8s-worker0,566344
85,0.376645833,0.053264212,0.540665853,0.113255921,k8s-worker3,566344
86,0.455454023,0.109571674,0.5513677,0.120433165,k8s-worker0,566621
87,0.383469828,0.083569891,0.548439162,0.107791532,k8s-worker3,566621
88,0.449918103,0.118245025,0.550863343,0.113796112,k8s-worker0,566916
89,0.381538793,0.090119595,0.54403232,0.110864939,k8s-worker3,566916
90,0.454478535,0.120615858,0.499417922,0.112758505,k8s-worker0,567215
91,0.37304798,0.090175882,0.501011164,0.117797873,k8s-worker3,567215
92,0.450594444,0.127131815,0.504044854,0.120570888,k8s-worker0,567519
93,0.3803375,0.092139364,0.495534904,0.114919743,k8s-worker3,567519
94,0.450642857,0.123678004,0.554917955,0.121421228,k8s-worker0,567818
95,0.394662202,0.091313417,0.556143403,0.111270413,k8s-worker3,567818
96,0.455434896,0.124482175,0.570402279,0.115385086,k8s-worker0,568110
97,0.399721354,0.09282798,0.565547582,0.130698741,k8s-worker3,568110
98,0.450267241,0.122031264,0.567410511,0.133303615,k8s-worker0,568401
99,0.373614943,0.090706034,0.578431356,0.134552287,k8s-worker3,568401
100,0.449544355,0.126089165,0.56164221,0.142399813,k8s-worker0,568703
101,0.362388441,0.090915154,0.565783641,0.115455599,k8s-worker3,568703
102,0.452953283,0.127771335,0.564564765,0.127114901,k8s-worker0,569006
103,0.378474747,0.091473243,0.572930686,0.136188531,k8s-worker3,569006
104,0.448327381,0.128849482,0.540177698,0.118206496,k8s-worker0,569305
105,0.387745536,0.093104029,0.553554998,0.123750703,k8s-worker3,569305
106,0.452352865,0.118157569,0.44075847,0.09802565,k8s-worker0,569599
107,0.39156901,0.090640778,0.440517833,0.115061198,k8s-worker3,569599
108,0.451477151,0.122415494,0.495793741,0.133176828,k8s-worker0,569889
109,0.377900538,0.093648121,0.50318054,0.124630713,k8s-worker3,569889
110,0.448869048,0.117252802,0.487181967,0.136669561,k8s-worker0,570189
111,0.385316964,0.093312921,0.49236129,0.124700111,k8s-worker3,570189
112,0.442625,0.041585938,0.126884577,0.045005484,k8s-worker4,598487
113,0.317958333,0.03921314,0.137121213,0.055062429,k8s-worker5,598487
114,0.496423214,0.064841741,0.215038751,0.071496104,k8s-worker4,598832
115,0.302569048,0.078637324,0.219139965,0.082652969,k8s-worker5,598832
116,0.499625,0.068339955,0.352375907,0.09169235,k8s-worker4,599197
117,0.300390476,0.083432573,0.354057599,0.099666118,k8s-worker5,599197
118,0.504469551,0.069940705,0.372974323,0.116520713,k8s-worker4,599561
119,0.299513889,0.083618097,0.389628295,0.104530468,k8s-worker5,599561
120,0.499160473,0.072637669,0.369215699,0.104062387,k8s-worker4,599925
121,0.300154279,0.088146137,0.387334938,0.119688052,k8s-worker5,599925
122,0.49725,0.069133036,0.365998775,0.11312996,k8s-worker4,600291
123,0.29595119,0.085646609,0.368963239,0.107560095,k8s-worker5,600291
124,0.498283929,0.070524554,0.354878971,0.117040134,k8s-worker4,600656
125,0.304430952,0.085705084,0.352333741,0.120363488,k8s-worker5,600656
126,0.501212171,0.069596834,0.368514224,0.11811802,k8s-worker4,601019
127,0.307752193,0.089533721,0.380128113,0.11272035,k8s-worker5,601019
