batch,flops,params,cpu_normalized,mem_normalized,time_avg_for_100_iteration
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,46.28806757926941
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,48.45581459999085
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,48.58875250816345
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.51566168665886
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.28445854783058
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.92112743854523
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.508031659656105
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.95695810847812
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.255154371261604
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.69933496581184
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.29062393307686
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.78761452436447
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.10263246297836
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.58254861831665
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.92165758874682
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,51.4235278500451
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,52.267355653974754
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,52.777011500464546
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,52.04981648921967
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,52.43363782763481
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,51.4583070576191
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,51.98598748445511
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,52.09298014640808
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,52.27438380983141
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.61737778451708
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.79995807011922
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,50.80503958463669
1005,7243824,1038114,0.6000569516622767,1.3000324096580782,51.470435827970505
